artikel,wörter,english,id
die,Orange,Orange,2
die,Kiwi,Kiwi,3
die,Banane,Banana,4
der,Apfel,Apple,5
die,Birne,Pear,6
die,Kartoffel,Potato,7
die,Tomate,Tomato,8
der,Knoblauch,Garlic,9
die,Paprika,Paprika,10
die,Gurke,Cucumber,11
die,Zwiebel,Onion,12
der,Pilz,Mushroom,13
das,Brot,Fragment,14
die,Nudeln,Pasta,15
der,Reis,Kings,16
das,Mehl,Flour,17
der,Zucker,Zucker,18
die,Milch,milk,19
der,Schinken,Ham,20
das,Fleisch,Meat,21
der,Fisch,Fish,22
der,Käse,Cheese,23
die,Getränke,beverages,24
das,Obst,Fruit,25
das,Gemüse,Vegetables,26
die,Pommes frites,French fries,27
der,Something,something,28
